Departure,Flyby,Arrival,Delta_V
2019 December 7 at 20:27:40,2036 July 21 at 09:43:30,2040 December 18 at 14:32:25,12.9121930707642
2021 September 26 at 01:41:35,2038 March 2 at 08:14:22,2043 February 5 at 09:48:32,12.5150007994646
2024 June 10 at 20:40:33,2040 October 15 at 22:24:31,2043 April 8 at 00:03:41,13.4259973307547
2025 April 10 at 17:46:02,2040 October 29 at 10:08:43,2043 April 9 at 06:58:41,14.0336803914584
2027 August 29 at 18:47:58,2043 July 4 at 07:24:35,2045 June 12 at 07:20:58,15.6993876643767
2031 July 20 at 06:40:23,2048 March 2 at 22:55:25,2054 February 13 at 20:12:25,13.8696767031512
2033 April 24 at 02:32:11,2049 December 6 at 17:43:51,2054 May 11 at 20:40:49,12.1836040087148
2034 February 6 at 02:08:00,2049 December 7 at 11:56:31,2054 May 8 at 13:30:06,12.6117566415734
2036 January 23 at 11:53:17,2050 October 4 at 19:23:39,2056 May 20 at 21:34:39,13.5124885906657
2037 November 2 at 02:18:22,2054 June 7 at 21:19:29,2056 August 16 at 19:07:00,14.2370490480727
2039 December 14 at 09:18:34,2054 May 30 at 20:09:47,2056 August 16 at 19:00:06,15.985231648774
2044 February 5 at 13:22:01,2060 September 19 at 05:37:41,2067 May 31 at 21:23:02,14.0219221251323
2045 March 20 at 14:52:08,2061 September 14 at 14:22:16,2067 July 17 at 23:12:02,12.5967326156073
2047 November 14 at 09:02:41,2064 June 27 at 20:20:42,2067 October 29 at 23:13:18,12.2742233185593
2048 April 12 at 17:07:41,2064 July 31 at 12:21:55,2067 October 29 at 18:47:32,12.5337573038094
2050 May 16 at 05:36:05,2064 June 8 at 17:37:59,2067 October 24 at 11:30:36,14.1185425705611
2052 August 28 at 04:46:57,2067 December 31 at 09:51:26,2070 January 12 at 09:46:41,15.7792829757703
2056 July 1 at 10:25:13,2073 February 13 at 00:12:36,2078 October 7 at 07:27:33,15.1222782881086
2057 September 10 at 19:55:33,2073 March 27 at 15:44:20,2078 October 17 at 09:20:02,15.475795308359
2060 January 11 at 11:40:47,2076 August 25 at 03:50:58,2081 February 6 at 08:55:07,12.2777298873899
2060 October 29 at 20:10:52,2076 October 15 at 01:37:18,2081 February 11 at 22:28:20,12.744109235193
2063 July 6 at 00:13:35,2076 June 2 at 12:16:48,2081 January 28 at 11:01:05,14.9116866809364
2065 January 11 at 14:07:44,2081 August 3 at 19:19:52,2083 June 23 at 06:37:36,15.2390943683951
2069 March 12 at 02:43:42,2085 October 24 at 18:58:31,2092 January 23 at 12:49:42,14.9643982539608
2071 February 27 at 23:19:26,2087 September 15 at 22:07:40,2092 April 12 at 07:53:52,12.3574356685794
2071 June 23 at 06:11:46,2087 October 11 at 10:33:45,2092 April 14 at 12:15:29,12.4403789847405
2073 June 8 at 09:17:22,2088 May 3 at 07:29:43,2092 May 2 at 19:09:45,13.0812536818992
2075 November 13 at 12:04:04,2092 June 27 at 04:16:08,2094 August 20 at 16:08:55,14.34885010702
2078 July 28 at 15:09:02,2095 February 3 at 08:34:46,2096 November 30 at 02:15:54,15.6398609828208
2080 May 28 at 04:33:21,2095 February 7 at 22:31:01,2096 November 29 at 04:43:50,16.9459989301484
2083 November 1 at 06:31:20,2100 June 15 at 22:44:34,2105 August 6 at 17:13:54,12.5152166923564
2084 June 23 at 17:36:26,2100 November 10 at 11:41:51,2105 August 24 at 07:12:26,12.4908885773944
2085 December 4 at 09:25:19,2102 February 3 at 20:54:36,2107 September 30 at 16:12:12,13.4683107070472
2088 March 23 at 01:12:52,2101 November 23 at 16:39:55,2107 September 22 at 03:18:02,14.991509687766
2090 November 4 at 01:10:21,2106 January 31 at 12:50:20,2108 February 1 at 01:06:43,15.7036713015385
2092 March 30 at 21:35:50,2108 July 17 at 22:38:37,2110 May 9 at 08:35:37,15.9643915906588
2096 May 7 at 09:08:16,2112 September 25 at 21:07:20,2118 November 10 at 01:17:35,13.2493019245545
2096 August 12 at 10:42:59,2112 September 18 at 18:13:38,2118 November 9 at 06:46:34,13.4058093872362
2098 August 31 at 02:01:06,2115 February 23 at 17:10:21,2119 February 27 at 12:28:56,13.0526440449821
2101 March 13 at 15:48:07,2116 November 18 at 21:49:31,2119 March 30 at 09:58:06,14.3541243576815
2103 May 8 at 18:00:41,2119 August 15 at 05:00:32,2121 July 10 at 20:18:14,15.0855471901205
2105 July 11 at 02:40:26,2121 December 18 at 22:15:56,2123 October 7 at 13:27:02,16.0379727376641
2108 April 13 at 15:49:48,2124 November 23 at 02:28:34,2130 May 3 at 19:04:48,16.52010592035
2110 June 3 at 16:59:50,2124 October 19 at 20:04:39,2130 March 22 at 13:33:42,16.1962607166131
2111 June 21 at 02:28:04,2127 September 26 at 11:12:27,2132 June 23 at 22:02:39,13.3541260673412
2113 October 23 at 06:11:52,2130 June 6 at 21:33:57,2132 September 10 at 01:39:35,14.0143615245628
2116 June 22 at 12:45:43,2133 January 28 at 07:10:09,2134 December 13 at 01:35:03,14.8529761870859
2117 June 17 at 20:59:40,2133 January 24 at 01:13:02,2134 December 13 at 23:39:24,15.5460718480863
2121 June 25 at 02:32:59,2138 February 6 at 18:44:37,2143 July 19 at 03:42:28,13.919084750318
2123 January 1 at 00:10:39,2139 August 15 at 11:08:56,2143 September 28 at 06:34:19,12.860467089055
2123 October 16 at 06:44:00,2139 June 24 at 02:27:05,2143 September 22 at 16:11:49,13.3916425623474
2125 August 30 at 21:03:29,2140 June 22 at 21:55:38,2145 October 25 at 02:11:55,14.4290223924581
2127 October 24 at 19:43:46,2144 January 18 at 07:53:51,2146 February 16 at 21:31:12,14.419523042855
2130 July 5 at 17:28:33,2146 June 16 at 09:29:29,2148 May 7 at 18:29:06,15.3480628850953
2134 January 11 at 09:15:20,2150 August 26 at 01:30:41,2156 November 5 at 04:47:21,14.2865812497459
2134 October 27 at 19:33:02,2151 March 27 at 04:49:30,2156 December 4 at 01:52:50,13.6314237594029
