Departure,Flyby,Arrival,Delta_V
2020 June 18 at 05:53:32,2050 December 30 at 01:59:12,2054 June 17 at 07:31:35,8.63900637792053
2021 September 17 at 09:09:13,2063 December 6 at 06:42:10,2067 October 11 at 07:37:25,8.25646719902459
2024 March 17 at 15:16:53,2064 January 7 at 01:39:35,2067 October 13 at 00:52:26,8.17318881007631
2026 February 23 at 07:38:20,2064 March 11 at 14:51:59,2067 October 18 at 08:44:49,8.12472121170989
2027 July 20 at 15:58:22,2064 July 14 at 00:55:19,2067 October 27 at 16:31:53,8.13118805887337
2031 July 20 at 06:35:50,2076 January 31 at 22:04:53,2081 January 15 at 07:17:33,8.826897326203
2033 April 14 at 09:07:53,2064 June 29 at 13:47:05,2067 October 27 at 01:49:41,8.3178660797851
2034 August 5 at 18:28:44,2076 April 24 at 13:27:09,2081 January 24 at 09:10:30,8.70950192387669
2036 January 15 at 20:48:46,2064 September 16 at 01:36:37,2067 November 4 at 16:06:13,8.68385417996775
2039 March 9 at 12:26:57,2076 July 28 at 05:06:29,2081 February 3 at 03:06:21,8.59413939427991
2041 February 23 at 16:10:11,2076 August 5 at 15:13:03,2081 February 4 at 09:11:10,8.58162059828071
2043 April 14 at 14:42:32,2076 April 30 at 17:44:45,2083 January 4 at 13:50:40,9.43678546144266
2046 January 19 at 00:26:44,2088 September 2 at 07:49:03,2092 May 13 at 15:59:19,8.54398949160561
2046 May 13 at 06:45:24,2088 June 7 at 09:04:40,2092 May 6 at 01:56:54,8.58073607541864
2050 March 9 at 12:53:05,2088 November 5 at 14:20:59,2092 May 20 at 00:17:45,8.49338737650988
2050 October 3 at 19:54:02,2088 July 26 at 19:51:27,2092 May 10 at 21:27:08,8.53058480105571
2053 October 1 at 15:55:54,2088 January 18 at 07:37:23,2092 April 23 at 18:12:43,8.82068049906374
2055 August 4 at 14:57:41,2087 October 24 at 15:25:06,2092 April 15 at 03:42:10,9.06141896831697
2057 June 18 at 10:00:21,2089 May 1 at 05:50:14,2094 June 2 at 16:41:22,9.19320358371549
2059 April 8 at 07:39:30,2101 December 22 at 20:41:34,2105 October 7 at 09:45:20,8.97706857962105
2061 June 12 at 22:03:18,2089 June 6 at 00:47:33,2094 June 7 at 00:36:38,9.51232526173463
2064 May 30 at 20:34:21,2100 January 15 at 04:01:09,2105 July 19 at 03:15:29,9.59661527595677
2065 July 5 at 22:27:01,2114 March 9 at 21:46:48,2119 January 15 at 20:29:40,9.67871294128449
2069 February 12 at 01:34:01,2100 September 27 at 22:36:32,2105 August 17 at 17:08:36,9.26651261293991
2071 April 14 at 17:57:41,2100 December 31 at 02:25:07,2105 August 28 at 04:06:13,9.26703648659
2071 June 26 at 12:05:18,2101 January 7 at 03:23:40,2105 August 30 at 03:47:48,9.27280841771788
2075 June 7 at 20:05:30,2116 November 30 at 08:27:46,2119 March 31 at 03:20:44,9.54183353620387
2076 January 28 at 06:13:24,2116 December 3 at 05:08:40,2119 March 31 at 15:22:33,9.50469210488126
2077 December 23 at 07:57:59,2116 October 29 at 09:24:09,2119 March 29 at 14:04:06,9.38757762436334
2080 April 30 at 09:33:28,2115 January 28 at 22:57:47,2119 February 23 at 23:40:10,9.24503133612603
2083 February 9 at 10:53:02,2126 June 12 at 16:39:32,2130 May 7 at 02:14:50,9.52042035989217
2085 September 30 at 02:21:18,2116 November 2 at 12:14:02,2119 March 30 at 02:47:30,9.44288061478837
2087 December 18 at 10:12:26,2127 June 14 at 12:39:59,2132 June 10 at 09:23:48,9.63706342289282
2088 December 24 at 17:40:15,2127 July 2 at 10:54:34,2132 June 12 at 15:27:40,9.60521617652805
2090 December 11 at 22:11:29,2130 June 28 at 06:27:15,2132 September 9 at 13:14:55,9.93757398863094
2092 October 12 at 17:53:53,2141 February 9 at 23:02:46,2143 November 4 at 05:56:53,9.17839385453551
2096 February 26 at 10:12:51,2130 June 12 at 05:57:32,2132 September 10 at 01:37:57,9.66915501057995
2096 November 2 at 12:01:40,2140 September 26 at 00:39:01,2143 November 19 at 10:11:02,9.3416309880608
2100 June 10 at 13:48:00,2140 August 25 at 08:40:47,2143 October 1 at 07:10:30,9.42668815919899
2101 March 4 at 08:42:39,2140 April 14 at 15:47:50,2145 October 15 at 15:59:02,9.82909868683784
2104 January 5 at 11:39:37,2139 April 13 at 04:06:10,2143 September 10 at 22:12:54,9.60806408521245
2106 February 11 at 19:15:22,2154 December 13 at 09:53:29,2157 April 16 at 20:42:23,9.5820118128019
2108 September 9 at 06:19:28,2153 February 11 at 15:42:26,2157 March 2 at 07:33:54,9.20184583013081
2110 November 4 at 19:06:02,2141 July 12 at 04:55:50,2143 November 11 at 14:40:56,9.33471767990551
2113 February 3 at 13:24:08,2141 January 30 at 13:49:21,2143 November 2 at 23:05:19,9.37677403602817
2114 July 23 at 03:11:57,2153 May 19 at 05:54:31,2157 March 13 at 13:19:16,8.90963198857272
2115 July 9 at 10:26:44,2154 September 19 at 11:00:46,2157 April 13 at 09:07:44,8.86214409192208
2117 November 25 at 13:36:34,2154 October 7 at 04:24:55,2157 April 14 at 08:41:39,8.82784211716567
2119 September 8 at 16:03:39,2154 July 30 at 14:49:33,2157 April 10 at 05:13:21,8.79931117488192
2123 March 13 at 14:07:43,2153 October 18 at 14:41:24,2157 March 10 at 00:11:03,9.25679832624688
2124 April 20 at 13:11:52,2154 August 10 at 10:17:45,2157 April 11 at 03:51:48,9.04865629303425
2127 August 10 at 01:42:23,2165 November 29 at 10:08:06,2170 July 16 at 16:52:60,9.11271539654171
2129 September 16 at 20:22:47,2168 May 18 at 05:12:30,2170 September 18 at 06:21:32,9.00054336582671
2130 December 6 at 04:24:13,2168 April 27 at 08:02:00,2170 September 17 at 09:18:23,8.93330611773643
2132 November 26 at 08:03:59,2178 September 19 at 21:15:55,2181 October 25 at 23:15:59,9.05414541104276
2135 May 20 at 02:39:48,2178 April 13 at 02:07:18,2181 October 4 at 13:54:43,9.28599876321863
2137 October 3 at 07:56:34,2168 March 22 at 04:08:11,2170 September 15 at 22:52:31,9.05184726990839
