Departure,Flyby,Arrival,Delta_V
2019 December 7 at 20:27:40,2036 July 21 at 09:43:30,2040 December 18 at 14:32:25,12.9121930707642
2021 September 26 at 01:41:35,2038 March 2 at 08:14:22,2043 February 5 at 09:48:32,12.5150007994646
2024 April 12 at 06:34:04,2040 October 15 at 08:08:59,2043 April 8 at 19:32:31,13.3108654600767
2025 April 10 at 17:46:02,2040 October 29 at 10:08:43,2043 April 9 at 06:58:41,14.0336803914584
2027 August 2 at 08:58:57,2043 July 4 at 10:46:35,2045 June 12 at 02:14:13,15.6443846825001
2031 July 20 at 06:40:41,2048 March 2 at 22:56:09,2054 February 13 at 20:13:52,13.8696738502128
2033 May 29 at 23:23:04,2050 January 11 at 15:21:04,2054 May 15 at 14:35:30,12.1601015872345
2033 September 9 at 12:28:04,2049 December 8 at 11:34:48,2054 May 11 at 07:38:05,12.3740118863686
2035 September 25 at 05:19:36,2050 December 16 at 07:31:57,2056 May 29 at 04:12:25,13.2488248640413
2037 November 2 at 02:18:22,2054 June 7 at 21:19:29,2056 August 16 at 19:07:00,14.2370490480727
2040 June 21 at 06:08:29,2057 January 21 at 08:49:42,2058 November 11 at 21:06:51,15.8115337580061
2044 February 5 at 13:22:01,2060 September 19 at 05:37:41,2067 May 31 at 21:23:02,14.0219221251323
2045 February 5 at 06:03:28,2061 September 19 at 21:52:15,2067 July 18 at 13:40:34,12.5191566926349
2047 November 14 at 09:02:41,2064 June 27 at 20:20:42,2067 October 29 at 23:13:18,12.2742233185593
2048 April 12 at 08:15:03,2064 June 6 at 02:02:34,2067 October 24 at 10:32:18,12.5212949965443
2050 May 16 at 04:42:32,2064 July 12 at 00:37:11,2067 October 27 at 15:52:03,14.1147162519372
2052 July 12 at 17:52:32,2068 January 1 at 00:45:34,2070 January 13 at 23:36:21,15.6746605179864
2056 July 21 at 21:53:35,2073 March 5 at 13:51:23,2078 October 13 at 01:45:03,15.016515174376
2056 September 27 at 12:35:19,2073 March 9 at 00:42:18,2078 October 14 at 08:29:59,15.0925725772554
2060 January 11 at 11:40:47,2076 August 25 at 03:50:58,2081 February 6 at 08:55:07,12.2777298873899
2060 October 29 at 20:10:52,2076 October 15 at 01:37:18,2081 February 11 at 22:28:20,12.744109235193
2063 January 9 at 00:06:50,2076 June 15 at 13:17:23,2081 January 29 at 17:05:11,14.4503405754158
2065 January 11 at 14:07:44,2081 August 3 at 19:19:52,2083 June 23 at 06:37:36,15.2390943683951
2069 March 12 at 02:43:53,2085 October 24 at 18:59:32,2092 January 23 at 12:45:33,14.9643930764767
2071 January 24 at 14:13:43,2087 September 8 at 06:28:41,2092 April 10 at 20:46:52,12.3325556612985
2071 April 28 at 20:28:28,2087 September 29 at 00:11:51,2092 April 13 at 15:34:44,12.4004308153433
2073 June 8 at 09:17:22,2088 May 3 at 07:29:43,2092 May 2 at 19:09:45,13.0812536818992
2075 June 20 at 21:05:03,2088 December 27 at 23:05:51,2092 May 25 at 13:52:45,14.2959274255988
2078 June 4 at 01:09:41,2095 January 16 at 11:56:58,2096 November 30 at 04:11:60,15.5861196794798
2079 September 27 at 08:07:39,2095 February 11 at 18:07:11,2096 November 29 at 00:05:07,16.4117208740364
2083 November 1 at 06:31:20,2100 June 15 at 22:44:34,2105 August 6 at 17:13:54,12.5152166923564
2084 May 22 at 21:20:35,2100 November 16 at 11:05:39,2105 August 24 at 00:15:44,12.4354587678806
2085 December 4 at 09:25:19,2102 February 3 at 20:54:36,2107 September 30 at 16:12:12,13.4683107070472
2089 June 2 at 13:31:26,2106 January 15 at 11:51:20,2108 February 2 at 11:17:51,14.6646367181463
2090 February 9 at 03:19:28,2106 February 1 at 13:22:28,2108 February 2 at 13:36:59,15.1233194599271
2092 March 14 at 03:30:40,2108 August 12 at 16:52:37,2110 May 8 at 06:05:10,15.9100226418829
2096 February 16 at 23:52:13,2112 October 1 at 16:04:16,2118 November 10 at 06:52:06,13.1245526121019
2096 June 12 at 01:43:03,2112 September 23 at 06:20:16,2118 November 9 at 21:21:45,13.3061783290863
2098 July 12 at 04:29:35,2115 February 23 at 19:20:25,2119 February 27 at 01:06:37,12.9736436450948
2100 August 24 at 00:04:38,2116 November 12 at 04:43:33,2119 March 30 at 07:06:16,13.9710652718153
2102 December 16 at 21:33:56,2119 July 31 at 13:02:39,2121 July 10 at 18:06:06,14.8452623362665
2105 May 4 at 08:30:56,2121 December 17 at 00:46:08,2123 October 7 at 03:33:41,15.9448681112923
2108 February 6 at 12:04:02,2124 September 6 at 15:49:46,2130 April 16 at 16:25:06,16.4484630155299
2110 December 15 at 19:35:39,2124 December 4 at 06:38:44,2130 March 18 at 04:36:21,16.0437360749914
2111 March 27 at 20:01:51,2127 September 29 at 11:23:28,2132 June 24 at 17:51:60,13.2219842824309
2113 October 9 at 21:55:53,2130 May 24 at 14:11:25,2132 September 10 at 03:24:22,14.0131827238866
2116 June 4 at 08:56:29,2133 January 17 at 01:10:59,2134 December 12 at 20:42:35,14.8381191672206
2117 April 19 at 14:44:17,2133 January 24 at 19:33:14,2134 December 13 at 03:28:18,15.4231576427491
2121 June 25 at 02:34:26,2138 February 6 at 18:49:23,2143 July 19 at 04:04:19,13.9190710141057
2123 March 20 at 14:13:28,2139 November 2 at 06:11:42,2143 October 7 at 07:46:21,12.8308035213519
2123 July 29 at 01:51:16,2139 October 1 at 07:16:21,2143 October 2 at 18:02:59,13.0733667894202
2127 July 16 at 13:52:11,2144 January 22 at 22:17:04,2146 February 15 at 10:52:38,14.2138233821287
2127 October 24 at 19:43:46,2144 January 18 at 07:53:51,2146 February 16 at 21:31:12,14.419523042855
2129 November 5 at 15:07:30,2146 June 20 at 07:22:13,2148 May 7 at 03:00:49,14.9129584660006
2134 January 11 at 09:15:20,2150 August 26 at 01:30:41,2156 November 5 at 04:47:21,14.2865812497459
