Departure,Flyby,Arrival,Delta_V
2021 February 2 at 20:08:36,2051 August 18 at 21:19:49,2054 June 5 at 17:20:49,8.47259169608884
2021 October 23 at 10:27:36,2063 December 13 at 18:47:47,2067 October 12 at 04:04:36,8.25000946248779
2025 January 5 at 02:14:55,2064 February 29 at 08:39:24,2067 October 17 at 00:06:10,8.14012455757887
2027 January 27 at 10:44:34,2064 May 10 at 19:42:21,2067 October 22 at 09:56:04,8.11163541444213
2027 September 10 at 16:25:19,2064 May 23 at 10:45:24,2067 October 23 at 10:01:42,8.11414814037701
2029 October 21 at 02:37:29,2064 July 13 at 16:59:56,2067 October 27 at 09:58:20,8.16538832299508
2032 February 14 at 13:32:50,2064 May 29 at 06:52:27,2067 October 23 at 20:50:57,8.22933871352958
2035 March 12 at 16:01:46,2076 April 13 at 00:03:22,2081 January 23 at 03:22:50,8.68289361191263
2036 September 23 at 17:50:33,2076 May 12 at 04:31:33,2081 January 26 at 09:46:09,8.63615068912356
2039 March 9 at 12:26:57,2076 July 28 at 05:06:29,2081 February 3 at 03:06:21,8.59413939427991
2041 February 23 at 16:10:11,2076 August 5 at 15:13:03,2081 February 4 at 09:11:10,8.58162059828071
2044 January 23 at 22:17:53,2088 December 20 at 20:46:27,2092 May 25 at 04:35:57,8.64383487706483
2046 January 19 at 00:26:44,2088 September 2 at 07:49:03,2092 May 13 at 15:59:19,8.54398949160561
2047 August 23 at 14:29:43,2088 October 17 at 21:21:04,2092 May 18 at 08:56:44,8.51443737879958
2050 March 9 at 12:53:05,2088 November 5 at 14:20:59,2092 May 20 at 00:17:45,8.49338737650988
2050 October 3 at 19:54:02,2088 July 26 at 19:51:27,2092 May 10 at 21:27:08,8.53058480105571
2052 August 8 at 19:56:05,2088 March 29 at 05:18:28,2092 April 29 at 23:43:00,8.6801385113389
2055 February 25 at 10:45:43,2087 November 11 at 16:00:50,2092 April 16 at 18:23:03,9.00210626801964
2057 June 18 at 10:00:21,2089 May 1 at 05:50:14,2094 June 2 at 16:41:22,9.19320358371549
2059 April 8 at 07:39:30,2101 December 22 at 20:41:34,2105 October 7 at 09:45:20,8.97706857962105
2061 May 2 at 08:22:00,2089 June 5 at 05:25:58,2094 June 7 at 10:09:25,9.49927335305886
2064 December 11 at 17:37:13,2100 February 16 at 00:32:50,2105 July 22 at 23:03:32,9.5389684031009
2066 October 28 at 13:45:28,2100 June 2 at 21:02:51,2105 August 4 at 06:14:44,9.37549897216662
2069 March 5 at 06:41:16,2100 September 30 at 16:19:54,2105 August 18 at 01:15:24,9.26514048467162
2070 May 11 at 07:41:01,2100 November 23 at 00:48:49,2105 August 24 at 04:55:22,9.25347812829105
2071 June 26 at 12:05:18,2101 January 7 at 03:23:40,2105 August 30 at 03:47:48,9.27280841771788
2075 February 12 at 22:23:16,2114 October 16 at 21:24:05,2119 February 11 at 11:40:03,9.29359866837726
2077 June 29 at 21:21:48,2114 December 5 at 11:06:06,2119 February 17 at 12:31:01,9.24632987167608
2078 February 6 at 00:02:37,2114 December 17 at 11:49:17,2119 February 18 at 23:40:02,9.24024799533299
2080 April 30 at 09:33:28,2115 January 28 at 22:57:47,2119 February 23 at 23:40:10,9.24503133612603
2081 October 22 at 00:31:29,2115 March 17 at 17:31:15,2119 March 1 at 10:00:56,9.28121191759219
2084 August 22 at 18:26:18,2116 November 1 at 01:36:22,2119 March 29 at 14:33:21,9.3778540038261
2086 August 5 at 22:35:05,2115 April 27 at 15:12:21,2119 March 7 at 00:16:19,9.59376691877067
2090 January 2 at 19:17:34,2127 August 25 at 01:52:55,2132 June 19 at 19:11:58,9.5876330421694
2091 May 1 at 12:07:14,2141 March 3 at 08:49:03,2143 November 6 at 03:10:07,9.27217373395639
2092 October 12 at 17:53:53,2141 February 9 at 23:02:46,2143 November 4 at 05:56:53,9.17839385453551
2095 March 4 at 19:35:00,2141 February 4 at 10:01:12,2143 November 4 at 08:48:18,9.06162303507341
2098 May 18 at 19:44:35,2140 July 18 at 16:49:50,2143 November 9 at 20:47:36,9.2736200317327
2100 May 3 at 14:47:44,2140 September 13 at 03:45:45,2143 November 17 at 10:57:08,9.24906469691005
2102 July 2 at 07:42:40,2140 November 1 at 17:09:55,2143 October 16 at 18:28:10,9.09140782549164
2103 July 12 at 12:00:27,2152 October 5 at 12:54:36,2157 February 16 at 00:17:14,9.59644332943615
2105 December 23 at 06:46:18,2139 September 4 at 07:45:41,2143 September 27 at 04:56:02,9.42600183596565
2108 September 9 at 06:19:28,2153 February 11 at 15:42:26,2157 March 2 at 07:33:54,9.20184583013081
2110 December 11 at 20:06:03,2153 March 26 at 17:52:16,2157 March 6 at 19:08:06,9.06474146139291
2112 May 23 at 13:37:21,2141 January 8 at 07:25:03,2143 October 31 at 05:56:56,9.31687744404659
2114 December 12 at 20:55:46,2153 May 21 at 17:52:02,2157 March 14 at 04:16:51,8.89961342378212
2115 July 9 at 10:26:44,2154 September 19 at 11:00:46,2157 April 13 at 09:07:44,8.86214409192208
2118 May 10 at 12:02:52,2154 September 5 at 07:47:51,2157 April 12 at 09:10:28,8.80358343511521
